year,level_1,level_2,value
1985,Total,Groom Younger By 4 Years,194
1985,Total,Groom Younger By 5-9 Years,338
1985,Total,Groom Younger By 10 Years & Over,56
1985,First Marriages,Same Age,2400
1985,First Marriages,Groom Older By 1 Year,2855
1985,First Marriages,Groom Older By 2 Years,2886
1985,First Marriages,Groom Older By 3 Years,2622
1985,First Marriages,Groom Older By 4 Years,2315
1985,First Marriages,Groom Older By 5 Years,1786
1985,First Marriages,Groom Older By 6 Years,1209
1985,First Marriages,Groom Older By 7 Years,905
1985,First Marriages,Groom Older By 8 Years,640
1985,First Marriages,Groom Older By 9 Years,379
1985,First Marriages,Groom Older By 10 Years,272
1985,First Marriages,Groom Older By 11 Years,181
1985,First Marriages,Groom Older By 12 Years,113
1985,First Marriages,Groom Older By 13 Years,66
1985,First Marriages,Groom Older By 14 Years,47
1985,First Marriages,Groom Older By 15-19 Years,80
1985,First Marriages,Groom Older By 20-24 Years,13
1985,First Marriages,Groom Older By 25 Years & Over,4
1985,First Marriages,Groom Younger By 1 Year,1108
1985,First Marriages,Groom Younger By 2 Years,526
1985,First Marriages,Groom Younger By 3 Years,267
1985,First Marriages,Groom Younger By 4 Years,152
1985,First Marriages,Groom Younger By 5-9 Years,234
1985,First Marriages,Groom Younger By 10 Years & Over,25
1985,Remarriages,Same Age,120
1985,Remarriages,Groom Older By 1 Year,126
1985,Remarriages,Groom Older By 2 Years,120
1985,Remarriages,Groom Older By 3 Years,148
1985,Remarriages,Groom Older By 4 Years,114
1985,Remarriages,Groom Older By 5 Years,125
1985,Remarriages,Groom Older By 6 Years,123
1985,Remarriages,Groom Older By 7 Years,110
1985,Remarriages,Groom Older By 8 Years,80
1985,Remarriages,Groom Older By 9 Years,76
1985,Remarriages,Groom Older By 10 Years,83
1985,Remarriages,Groom Older By 11 Years,61
1985,Remarriages,Groom Older By 12 Years,44
1985,Remarriages,Groom Older By 13 Years,43
1985,Remarriages,Groom Older By 14 Years,32
1985,Remarriages,Groom Older By 15-19 Years,114
1985,Remarriages,Groom Older By 20-24 Years,49
1985,Remarriages,Groom Older By 25 Years & Over,24
1985,Remarriages,Groom Younger By 1 Year,84
1985,Remarriages,Groom Younger By 2 Years,59
1985,Remarriages,Groom Younger By 3 Years,61
1985,Remarriages,Groom Younger By 4 Years,42
1985,Remarriages,Groom Younger By 5-9 Years,104
1985,Remarriages,Groom Younger By 10 Years & Over,31
1986,Total,Same Age,2042
1986,Total,Groom Older By 1 Year,2423
1986,Total,Groom Older By 2 Years,2498
1986,Total,Groom Older By 3 Years,2348
1986,Total,Groom Older By 4 Years,2069
1986,Total,Groom Older By 5 Years,1594
1986,Total,Groom Older By 6 Years,1166
1986,Total,Groom Older By 7 Years,838
1986,Total,Groom Older By 8 Years,656
1986,Total,Groom Older By 9 Years,429
1986,Total,Groom Older By 10 Years,324
1986,Total,Groom Older By 11 Years,247
1986,Total,Groom Older By 12 Years,148
1986,Total,Groom Older By 13 Years,114
1986,Total,Groom Older By 14 Years,83
1986,Total,Groom Older By 15-19 Years,194
1986,Total,Groom Older By 20-24 Years,62
1986,Total,Groom Older By 25 Years & Over,35
1986,Total,Groom Younger By 1 Year,1088
1986,Total,Groom Younger By 2 Years,547
1986,Total,Groom Younger By 3 Years,292
1986,Total,Groom Younger By 4 Years,177
1986,Total,Groom Younger By 5-9 Years,315
1986,Total,Groom Younger By 10 Years & Over,71
1986,First Marriages,Same Age,1929
1986,First Marriages,Groom Older By 1 Year,2307
1986,First Marriages,Groom Older By 2 Years,2346
1986,First Marriages,Groom Older By 3 Years,2224
1986,First Marriages,Groom Older By 4 Years,1930
1986,First Marriages,Groom Older By 5 Years,1483
1986,First Marriages,Groom Older By 6 Years,1061
1986,First Marriages,Groom Older By 7 Years,721
1986,First Marriages,Groom Older By 8 Years,553
1986,First Marriages,Groom Older By 9 Years,343
1986,First Marriages,Groom Older By 10 Years,232
1986,First Marriages,Groom Older By 11 Years,189
1986,First Marriages,Groom Older By 12 Years,86
1986,First Marriages,Groom Older By 13 Years,57
1986,First Marriages,Groom Older By 14 Years,46
1986,First Marriages,Groom Older By 15-19 Years,66
1986,First Marriages,Groom Older By 20-24 Years,11
1986,First Marriages,Groom Older By 25 Years & Over,8
1986,First Marriages,Groom Younger By 1 Year,998
1986,First Marriages,Groom Younger By 2 Years,491
1986,First Marriages,Groom Younger By 3 Years,238
1986,First Marriages,Groom Younger By 4 Years,122
1986,First Marriages,Groom Younger By 5-9 Years,216
1986,First Marriages,Groom Younger By 10 Years & Over,22
1986,Remarriages,Same Age,113
1986,Remarriages,Groom Older By 1 Year,116
1986,Remarriages,Groom Older By 2 Years,152
1986,Remarriages,Groom Older By 3 Years,124
1986,Remarriages,Groom Older By 4 Years,139
1986,Remarriages,Groom Older By 5 Years,111
1986,Remarriages,Groom Older By 6 Years,105
1986,Remarriages,Groom Older By 7 Years,117
1986,Remarriages,Groom Older By 8 Years,103
1986,Remarriages,Groom Older By 9 Years,86
1986,Remarriages,Groom Older By 10 Years,92
1986,Remarriages,Groom Older By 11 Years,58
1986,Remarriages,Groom Older By 12 Years,62
1986,Remarriages,Groom Older By 13 Years,57
1986,Remarriages,Groom Older By 14 Years,37
1986,Remarriages,Groom Older By 15-19 Years,128
1986,Remarriages,Groom Older By 20-24 Years,51
1986,Remarriages,Groom Older By 25 Years & Over,27
1986,Remarriages,Groom Younger By 1 Year,90
1986,Remarriages,Groom Younger By 2 Years,56
1986,Remarriages,Groom Younger By 3 Years,54
1986,Remarriages,Groom Younger By 4 Years,55
1986,Remarriages,Groom Younger By 5-9 Years,99
1986,Remarriages,Groom Younger By 10 Years & Over,49
1987,Total,Same Age,2460
1987,Total,Groom Older By 1 Year,2832
1987,Total,Groom Older By 2 Years,2969
1987,Total,Groom Older By 3 Years,2723
1987,Total,Groom Older By 4 Years,2366
1987,Total,Groom Older By 5 Years,1812
1987,Total,Groom Older By 6 Years,1376
1987,Total,Groom Older By 7 Years,1048
1987,Total,Groom Older By 8 Years,696
1987,Total,Groom Older By 9 Years,513
1987,Total,Groom Older By 10 Years,355
1987,Total,Groom Older By 11 Years,249
1987,Total,Groom Older By 12 Years,172
1987,Total,Groom Older By 13 Years,143
1987,Total,Groom Older By 14 Years,78
1987,Total,Groom Older By 15-19 Years,219
1987,Total,Groom Older By 20-24 Years,76
1987,Total,Groom Older By 25 Years & Over,47
1987,Total,Groom Younger By 1 Year,1263
1987,Total,Groom Younger By 2 Years,677
1987,Total,Groom Younger By 3 Years,368
1987,Total,Groom Younger By 4 Years,223
1987,Total,Groom Younger By 5-9 Years,342
1987,Total,Groom Younger By 10 Years & Over,93
1987,First Marriages,Same Age,2328
1987,First Marriages,Groom Older By 1 Year,2681
1987,First Marriages,Groom Older By 2 Years,2809
1987,First Marriages,Groom Older By 3 Years,2544
1987,First Marriages,Groom Older By 4 Years,2196
1987,First Marriages,Groom Older By 5 Years,1683
1987,First Marriages,Groom Older By 6 Years,1260
1987,First Marriages,Groom Older By 7 Years,913
1987,First Marriages,Groom Older By 8 Years,574
1987,First Marriages,Groom Older By 9 Years,430
1987,First Marriages,Groom Older By 10 Years,277
1987,First Marriages,Groom Older By 11 Years,171
1987,First Marriages,Groom Older By 12 Years,108
1987,First Marriages,Groom Older By 13 Years,79
1987,First Marriages,Groom Older By 14 Years,37
1987,First Marriages,Groom Older By 15-19 Years,78
1987,First Marriages,Groom Older By 20-24 Years,17
1987,First Marriages,Groom Older By 25 Years & Over,12
1987,First Marriages,Groom Younger By 1 Year,1144
1987,First Marriages,Groom Younger By 2 Years,588
1987,First Marriages,Groom Younger By 3 Years,307
1987,First Marriages,Groom Younger By 4 Years,174
1987,First Marriages,Groom Younger By 5-9 Years,230
1987,First Marriages,Groom Younger By 10 Years & Over,43
1987,Remarriages,Same Age,132
1987,Remarriages,Groom Older By 1 Year,151
1987,Remarriages,Groom Older By 2 Years,160
1987,Remarriages,Groom Older By 3 Years,179
1987,Remarriages,Groom Older By 4 Years,170
1987,Remarriages,Groom Older By 5 Years,129
1987,Remarriages,Groom Older By 6 Years,116
1987,Remarriages,Groom Older By 7 Years,135
1987,Remarriages,Groom Older By 8 Years,122
1987,Remarriages,Groom Older By 9 Years,83
1987,Remarriages,Groom Older By 10 Years,78
1987,Remarriages,Groom Older By 11 Years,78
1987,Remarriages,Groom Older By 12 Years,64
1987,Remarriages,Groom Older By 13 Years,64
1987,Remarriages,Groom Older By 14 Years,41
1987,Remarriages,Groom Older By 15-19 Years,141
1987,Remarriages,Groom Older By 20-24 Years,59
1987,Remarriages,Groom Older By 25 Years & Over,35
1987,Remarriages,Groom Younger By 1 Year,119
1987,Remarriages,Groom Younger By 2 Years,89
1987,Remarriages,Groom Younger By 3 Years,61
1987,Remarriages,Groom Younger By 4 Years,49
1987,Remarriages,Groom Younger By 5-9 Years,112
1987,Remarriages,Groom Younger By 10 Years & Over,50
1988,Total,Same Age,2619
1988,Total,Groom Older By 1 Year,3064
1988,Total,Groom Older By 2 Years,3094
1988,Total,Groom Older By 3 Years,2910
1988,Total,Groom Older By 4 Years,2442
1988,Total,Groom Older By 5 Years,2044
1988,Total,Groom Older By 6 Years,1441
1988,Total,Groom Older By 7 Years,1107
1988,Total,Groom Older By 8 Years,775
1988,Total,Groom Older By 9 Years,506
1988,Total,Groom Older By 10 Years,374
1988,Total,Groom Older By 11 Years,270
1988,Total,Groom Older By 12 Years,202
1988,Total,Groom Older By 13 Years,148
1988,Total,Groom Older By 14 Years,83
1988,Total,Groom Older By 15-19 Years,232
1988,Total,Groom Older By 20-24 Years,68
1988,Total,Groom Older By 25 Years & Over,38
1988,Total,Groom Younger By 1 Year,1323
1988,Total,Groom Younger By 2 Years,705
1988,Total,Groom Younger By 3 Years,381
1988,Total,Groom Younger By 4 Years,242
1988,Total,Groom Younger By 5-9 Years,423
1988,Total,Groom Younger By 10 Years & Over,92
1988,First Marriages,Same Age,2482
1988,First Marriages,Groom Older By 1 Year,2908
1988,First Marriages,Groom Older By 2 Years,2924
1988,First Marriages,Groom Older By 3 Years,2729
1988,First Marriages,Groom Older By 4 Years,2301
1988,First Marriages,Groom Older By 5 Years,1886
1988,First Marriages,Groom Older By 6 Years,1290
1988,First Marriages,Groom Older By 7 Years,981
1988,First Marriages,Groom Older By 8 Years,669
1988,First Marriages,Groom Older By 9 Years,418
1988,First Marriages,Groom Older By 10 Years,290
1988,First Marriages,Groom Older By 11 Years,196
1988,First Marriages,Groom Older By 12 Years,142
1988,First Marriages,Groom Older By 13 Years,82
1988,First Marriages,Groom Older By 14 Years,50
1988,First Marriages,Groom Older By 15-19 Years,102
1988,First Marriages,Groom Older By 20-24 Years,23
1988,First Marriages,Groom Older By 25 Years & Over,7
1988,First Marriages,Groom Younger By 1 Year,1217
1988,First Marriages,Groom Younger By 2 Years,620
1988,First Marriages,Groom Younger By 3 Years,307
1988,First Marriages,Groom Younger By 4 Years,183
1988,First Marriages,Groom Younger By 5-9 Years,267
1988,First Marriages,Groom Younger By 10 Years & Over,39
1988,Remarriages,Same Age,137
1988,Remarriages,Groom Older By 1 Year,156
1988,Remarriages,Groom Older By 2 Years,170
1988,Remarriages,Groom Older By 3 Years,181
1988,Remarriages,Groom Older By 4 Years,141
1988,Remarriages,Groom Older By 5 Years,158
1988,Remarriages,Groom Older By 6 Years,151
1988,Remarriages,Groom Older By 7 Years,126
1988,Remarriages,Groom Older By 8 Years,106
1988,Remarriages,Groom Older By 9 Years,88
1988,Remarriages,Groom Older By 10 Years,84
1988,Remarriages,Groom Older By 11 Years,74
1988,Remarriages,Groom Older By 12 Years,60
1988,Remarriages,Groom Older By 13 Years,66
1988,Remarriages,Groom Older By 14 Years,33
1988,Remarriages,Groom Older By 15-19 Years,130
1988,Remarriages,Groom Older By 20-24 Years,45
1988,Remarriages,Groom Older By 25 Years & Over,31
1988,Remarriages,Groom Younger By 1 Year,106
1988,Remarriages,Groom Younger By 2 Years,85
1988,Remarriages,Groom Younger By 3 Years,74
1988,Remarriages,Groom Younger By 4 Years,59
1988,Remarriages,Groom Younger By 5-9 Years,156
1988,Remarriages,Groom Younger By 10 Years & Over,53
1989,Total,Same Age,2417
1989,Total,Groom Older By 1 Year,2851
1989,Total,Groom Older By 2 Years,2912
1989,Total,Groom Older By 3 Years,2661
1989,Total,Groom Older By 4 Years,2278
1989,Total,Groom Older By 5 Years,1803
1989,Total,Groom Older By 6 Years,1341
1989,Total,Groom Older By 7 Years,1001
1989,Total,Groom Older By 8 Years,752
1989,Total,Groom Older By 9 Years,541
1989,Total,Groom Older By 10 Years,398
1989,Total,Groom Older By 11 Years,294
1989,Total,Groom Older By 12 Years,215
1989,Total,Groom Older By 13 Years,136
1989,Total,Groom Older By 14 Years,98
1989,Total,Groom Older By 15-19 Years,256
1989,Total,Groom Older By 20-24 Years,83
1989,Total,Groom Older By 25 Years & Over,50
1989,Total,Groom Younger By 1 Year,1370
1989,Total,Groom Younger By 2 Years,686
1989,Total,Groom Younger By 3 Years,437
1989,Total,Groom Younger By 4 Years,255
1989,Total,Groom Younger By 5-9 Years,417
1989,Total,Groom Younger By 10 Years & Over,88
1989,First Marriages,Same Age,2264
1989,First Marriages,Groom Older By 1 Year,2673
1989,First Marriages,Groom Older By 2 Years,2745
1989,First Marriages,Groom Older By 3 Years,2487
1989,First Marriages,Groom Older By 4 Years,2110
1989,First Marriages,Groom Older By 5 Years,1635
1989,First Marriages,Groom Older By 6 Years,1201
1989,First Marriages,Groom Older By 7 Years,876
1989,First Marriages,Groom Older By 8 Years,639
1989,First Marriages,Groom Older By 9 Years,422
1989,First Marriages,Groom Older By 10 Years,321
1989,First Marriages,Groom Older By 11 Years,219
1989,First Marriages,Groom Older By 12 Years,143
1989,First Marriages,Groom Older By 13 Years,76
1989,First Marriages,Groom Older By 14 Years,51
1989,First Marriages,Groom Older By 15-19 Years,104
1989,First Marriages,Groom Older By 20-24 Years,23
1989,First Marriages,Groom Older By 25 Years & Over,6
1989,First Marriages,Groom Younger By 1 Year,1248
1989,First Marriages,Groom Younger By 2 Years,584
1989,First Marriages,Groom Younger By 3 Years,347
1989,First Marriages,Groom Younger By 4 Years,194
1989,First Marriages,Groom Younger By 5-9 Years,253
1989,First Marriages,Groom Younger By 10 Years & Over,28
1989,Remarriages,Same Age,153
1989,Remarriages,Groom Older By 1 Year,178
1989,Remarriages,Groom Older By 2 Years,167
1989,Remarriages,Groom Older By 3 Years,174
1989,Remarriages,Groom Older By 4 Years,168
1989,Remarriages,Groom Older By 5 Years,168
1989,Remarriages,Groom Older By 6 Years,140
1989,Remarriages,Groom Older By 7 Years,125
1989,Remarriages,Groom Older By 8 Years,113
1989,Remarriages,Groom Older By 9 Years,119
1989,Remarriages,Groom Older By 10 Years,77
1989,Remarriages,Groom Older By 11 Years,75
1989,Remarriages,Groom Older By 12 Years,72
1989,Remarriages,Groom Older By 13 Years,60
1989,Remarriages,Groom Older By 14 Years,47
1989,Remarriages,Groom Older By 15-19 Years,152
1989,Remarriages,Groom Older By 20-24 Years,60
1989,Remarriages,Groom Older By 25 Years & Over,44
1989,Remarriages,Groom Younger By 1 Year,122
1989,Remarriages,Groom Younger By 2 Years,102
1989,Remarriages,Groom Younger By 3 Years,90
1989,Remarriages,Groom Younger By 4 Years,61
1989,Remarriages,Groom Younger By 5-9 Years,164
1989,Remarriages,Groom Younger By 10 Years & Over,60
1990,Total,Same Age,2452
1990,Total,Groom Older By 1 Year,2858
1990,Total,Groom Older By 2 Years,2991
1990,Total,Groom Older By 3 Years,2616
1990,Total,Groom Older By 4 Years,2324
1990,Total,Groom Older By 5 Years,1904
1990,Total,Groom Older By 6 Years,1381
1990,Total,Groom Older By 7 Years,1127
1990,Total,Groom Older By 8 Years,760
1990,Total,Groom Older By 9 Years,639
1990,Total,Groom Older By 10 Years,384
1990,Total,Groom Older By 11 Years,304
1990,Total,Groom Older By 12 Years,213
1990,Total,Groom Older By 13 Years,168
1990,Total,Groom Older By 14 Years,126
1990,Total,Groom Older By 15-19 Years,285
1990,Total,Groom Older By 20-24 Years,98
1990,Total,Groom Older By 25 Years & Over,43
1990,Total,Groom Younger By 1 Year,1334
1990,Total,Groom Younger By 2 Years,686
1990,Total,Groom Younger By 3 Years,451
1990,Total,Groom Younger By 4 Years,256
1990,Total,Groom Younger By 5-9 Years,451
1990,Total,Groom Younger By 10 Years & Over,102
1990,First Marriages,Same Age,2282
1990,First Marriages,Groom Older By 1 Year,2686
1990,First Marriages,Groom Older By 2 Years,2801
1990,First Marriages,Groom Older By 3 Years,2433
1990,First Marriages,Groom Older By 4 Years,2141
1990,First Marriages,Groom Older By 5 Years,1741
1990,First Marriages,Groom Older By 6 Years,1232
1990,First Marriages,Groom Older By 7 Years,988
1990,First Marriages,Groom Older By 8 Years,618
1990,First Marriages,Groom Older By 9 Years,504
1990,First Marriages,Groom Older By 10 Years,294
1990,First Marriages,Groom Older By 11 Years,216
1990,First Marriages,Groom Older By 12 Years,141
1990,First Marriages,Groom Older By 13 Years,103
1990,First Marriages,Groom Older By 14 Years,58
1990,First Marriages,Groom Older By 15-19 Years,122
1990,First Marriages,Groom Older By 20-24 Years,18
1990,First Marriages,Groom Older By 25 Years & Over,8
1990,First Marriages,Groom Younger By 1 Year,1185
1990,First Marriages,Groom Younger By 2 Years,590
1990,First Marriages,Groom Younger By 3 Years,358
1990,First Marriages,Groom Younger By 4 Years,191
1990,First Marriages,Groom Younger By 5-9 Years,287
1990,First Marriages,Groom Younger By 10 Years & Over,47
1990,Remarriages,Same Age,170
1990,Remarriages,Groom Older By 1 Year,172
1990,Remarriages,Groom Older By 2 Years,190
1990,Remarriages,Groom Older By 3 Years,183
1990,Remarriages,Groom Older By 4 Years,183
1990,Remarriages,Groom Older By 5 Years,163
1990,Remarriages,Groom Older By 6 Years,149
1990,Remarriages,Groom Older By 7 Years,139
1990,Remarriages,Groom Older By 8 Years,142
1990,Remarriages,Groom Older By 9 Years,135
1990,Remarriages,Groom Older By 10 Years,90
1990,Remarriages,Groom Older By 11 Years,88
1990,Remarriages,Groom Older By 12 Years,72
1990,Remarriages,Groom Older By 13 Years,65
1990,Remarriages,Groom Older By 14 Years,68
1990,Remarriages,Groom Older By 15-19 Years,163
1990,Remarriages,Groom Older By 20-24 Years,80
1990,Remarriages,Groom Older By 25 Years & Over,35
1990,Remarriages,Groom Younger By 1 Year,149
1990,Remarriages,Groom Younger By 2 Years,96
1990,Remarriages,Groom Younger By 3 Years,93
1990,Remarriages,Groom Younger By 4 Years,65
1990,Remarriages,Groom Younger By 5-9 Years,164
1990,Remarriages,Groom Younger By 10 Years & Over,55
1991,Total,Same Age,2645
1991,Total,Groom Older By 1 Year,3056
1991,Total,Groom Older By 2 Years,2933
1991,Total,Groom Older By 3 Years,2793
1991,Total,Groom Older By 4 Years,2348
1991,Total,Groom Older By 5 Years,1895
1991,Total,Groom Older By 6 Years,1480
1991,Total,Groom Older By 7 Years,1052
1991,Total,Groom Older By 8 Years,852
1991,Total,Groom Older By 9 Years,601
1991,Total,Groom Older By 10 Years,460
1991,Total,Groom Older By 11 Years,329
1991,Total,Groom Older By 12 Years,204
1991,Total,Groom Older By 13 Years,163
1991,Total,Groom Older By 14 Years,128
1991,Total,Groom Older By 15-19 Years,305
1991,Total,Groom Older By 20-24 Years,86
1991,Total,Groom Older By 25 Years & Over,66
1991,Total,Groom Younger By 1 Year,1408
1991,Total,Groom Younger By 2 Years,758
1991,Total,Groom Younger By 3 Years,431
1991,Total,Groom Younger By 4 Years,253
1991,Total,Groom Younger By 5-9 Years,463
1991,Total,Groom Younger By 10 Years & Over,82
1991,First Marriages,Same Age,2461
1991,First Marriages,Groom Older By 1 Year,2843
1991,First Marriages,Groom Older By 2 Years,2730
1991,First Marriages,Groom Older By 3 Years,2585
1991,First Marriages,Groom Older By 4 Years,2145
1991,First Marriages,Groom Older By 5 Years,1716
1991,First Marriages,Groom Older By 6 Years,1326
1991,First Marriages,Groom Older By 7 Years,913
1991,First Marriages,Groom Older By 8 Years,725
1991,First Marriages,Groom Older By 9 Years,492
1991,First Marriages,Groom Older By 10 Years,337
1991,First Marriages,Groom Older By 11 Years,247
1991,First Marriages,Groom Older By 12 Years,131
1991,First Marriages,Groom Older By 13 Years,105
1991,First Marriages,Groom Older By 14 Years,74
1991,First Marriages,Groom Older By 15-19 Years,119
1991,First Marriages,Groom Older By 20-24 Years,26
1991,First Marriages,Groom Older By 25 Years & Over,13
1991,First Marriages,Groom Younger By 1 Year,1238
1991,First Marriages,Groom Younger By 2 Years,644
1991,First Marriages,Groom Younger By 3 Years,333
1991,First Marriages,Groom Younger By 4 Years,182
1991,First Marriages,Groom Younger By 5-9 Years,277
1991,First Marriages,Groom Younger By 10 Years & Over,37
1991,Remarriages,Same Age,184
1991,Remarriages,Groom Older By 1 Year,213
1991,Remarriages,Groom Older By 2 Years,203
1991,Remarriages,Groom Older By 3 Years,208
1991,Remarriages,Groom Older By 4 Years,203
1991,Remarriages,Groom Older By 5 Years,179
1991,Remarriages,Groom Older By 6 Years,154
1991,Remarriages,Groom Older By 7 Years,139
1991,Remarriages,Groom Older By 8 Years,127
1991,Remarriages,Groom Older By 9 Years,109
1991,Remarriages,Groom Older By 10 Years,123
1991,Remarriages,Groom Older By 11 Years,82
1991,Remarriages,Groom Older By 12 Years,73
1991,Remarriages,Groom Older By 13 Years,58
1991,Remarriages,Groom Older By 14 Years,54
1991,Remarriages,Groom Older By 15-19 Years,186
1991,Remarriages,Groom Older By 20-24 Years,60
1991,Remarriages,Groom Older By 25 Years & Over,53
1991,Remarriages,Groom Younger By 1 Year,170
1991,Remarriages,Groom Younger By 2 Years,114
1991,Remarriages,Groom Younger By 3 Years,98
1991,Remarriages,Groom Younger By 4 Years,71
1991,Remarriages,Groom Younger By 5-9 Years,186
1991,Remarriages,Groom Younger By 10 Years & Over,45
1992,Total,Same Age,2554
1992,Total,Groom Older By 1 Year,3001
1992,Total,Groom Older By 2 Years,3005
1992,Total,Groom Older By 3 Years,2721
1992,Total,Groom Older By 4 Years,2452
1992,Total,Groom Older By 5 Years,2010
1992,Total,Groom Older By 6 Years,1588
1992,Total,Groom Older By 7 Years,1249
1992,Total,Groom Older By 8 Years,923
1992,Total,Groom Older By 9 Years,691
1992,Total,Groom Older By 10 Years,513
1992,Total,Groom Older By 11 Years,371
1992,Total,Groom Older By 12 Years,287
1992,Total,Groom Older By 13 Years,202
1992,Total,Groom Older By 14 Years,160
1992,Total,Groom Older By 15-19 Years,344
1992,Total,Groom Older By 20-24 Years,102
1992,Total,Groom Older By 25 Years & Over,60
1992,Total,Groom Younger By 1 Year,1400
1992,Total,Groom Younger By 2 Years,772
1992,Total,Groom Younger By 3 Years,448
1992,Total,Groom Younger By 4 Years,340
1992,Total,Groom Younger By 5-9 Years,480
1992,Total,Groom Younger By 10 Years & Over,111
1992,First Marriages,Same Age,2356
1992,First Marriages,Groom Older By 1 Year,2785
1992,First Marriages,Groom Older By 2 Years,2772
1992,First Marriages,Groom Older By 3 Years,2495
1992,First Marriages,Groom Older By 4 Years,2222
1992,First Marriages,Groom Older By 5 Years,1788
1992,First Marriages,Groom Older By 6 Years,1378
1992,First Marriages,Groom Older By 7 Years,1074
1992,First Marriages,Groom Older By 8 Years,776
1992,First Marriages,Groom Older By 9 Years,540
1992,First Marriages,Groom Older By 10 Years,386
1992,First Marriages,Groom Older By 11 Years,254
1992,First Marriages,Groom Older By 12 Years,197
1992,First Marriages,Groom Older By 13 Years,134
1992,First Marriages,Groom Older By 14 Years,84
1992,First Marriages,Groom Older By 15-19 Years,139
1992,First Marriages,Groom Older By 20-24 Years,32
