year,level_1,level_2,value
1983,Others,Divorced Man & Widowed Woman,0
1983,Others,Widowed Man & Single Woman,0
1983,Others,Widowed Man & Divorced Woman,0
1983,Others,Widowed Man & Widowed Woman,0
1983,Inter-ethnic,Single Man & Single Woman,57
1983,Inter-ethnic,Single Man & Divorced Woman,4
1983,Inter-ethnic,Single Man & Widowed Woman,1
1983,Inter-ethnic,Divorced Man & Single Woman,2
1983,Inter-ethnic,Divorced Man & Divorced Woman,2
1983,Inter-ethnic,Divorced Man & Widowed Woman,0
1983,Inter-ethnic,Widowed Man & Single Woman,0
1983,Inter-ethnic,Widowed Man & Divorced Woman,0
1983,Inter-ethnic,Widowed Man & Widowed Woman,0
1984,Total,Single Man & Single Woman,1245
1984,Total,Single Man & Divorced Woman,12
1984,Total,Single Man & Widowed Woman,3
1984,Total,Divorced Man & Single Woman,27
1984,Total,Divorced Man & Divorced Woman,1
1984,Total,Divorced Man & Widowed Woman,1
1984,Total,Widowed Man & Single Woman,5
1984,Total,Widowed Man & Divorced Woman,1
1984,Total,Widowed Man & Widowed Woman,1
1984,Chinese,Single Man & Single Woman,1121
1984,Chinese,Single Man & Divorced Woman,8
1984,Chinese,Single Man & Widowed Woman,1
1984,Chinese,Divorced Man & Single Woman,22
1984,Chinese,Divorced Man & Divorced Woman,1
1984,Chinese,Divorced Man & Widowed Woman,0
1984,Chinese,Widowed Man & Single Woman,5
1984,Chinese,Widowed Man & Divorced Woman,1
1984,Chinese,Widowed Man & Widowed Woman,1
1984,Indians,Single Man & Single Woman,68
1984,Indians,Single Man & Divorced Woman,1
1984,Indians,Single Man & Widowed Woman,1
1984,Indians,Divorced Man & Single Woman,1
1984,Indians,Divorced Man & Divorced Woman,0
1984,Indians,Divorced Man & Widowed Woman,0
1984,Indians,Widowed Man & Single Woman,0
1984,Indians,Widowed Man & Divorced Woman,0
1984,Indians,Widowed Man & Widowed Woman,0
1984,Others,Single Man & Single Woman,8
1984,Others,Single Man & Divorced Woman,1
1984,Others,Single Man & Widowed Woman,0
1984,Others,Divorced Man & Single Woman,1
1984,Others,Divorced Man & Divorced Woman,0
1984,Others,Divorced Man & Widowed Woman,1
1984,Others,Widowed Man & Single Woman,0
1984,Others,Widowed Man & Divorced Woman,0
1984,Others,Widowed Man & Widowed Woman,0
1984,Inter-ethnic,Single Man & Single Woman,48
1984,Inter-ethnic,Single Man & Divorced Woman,2
1984,Inter-ethnic,Single Man & Widowed Woman,1
1984,Inter-ethnic,Divorced Man & Single Woman,3
1984,Inter-ethnic,Divorced Man & Divorced Woman,0
1984,Inter-ethnic,Divorced Man & Widowed Woman,0
1984,Inter-ethnic,Widowed Man & Single Woman,0
1984,Inter-ethnic,Widowed Man & Divorced Woman,0
1984,Inter-ethnic,Widowed Man & Widowed Woman,0
1985,Total,Single Man & Single Woman,1195
1985,Total,Single Man & Divorced Woman,12
1985,Total,Single Man & Widowed Woman,1
1985,Total,Divorced Man & Single Woman,18
1985,Total,Divorced Man & Divorced Woman,8
1985,Total,Divorced Man & Widowed Woman,2
1985,Total,Widowed Man & Single Woman,5
1985,Total,Widowed Man & Divorced Woman,2
1985,Total,Widowed Man & Widowed Woman,1
1985,Chinese,Single Man & Single Woman,1039
1985,Chinese,Single Man & Divorced Woman,9
1985,Chinese,Single Man & Widowed Woman,0
1985,Chinese,Divorced Man & Single Woman,9
1985,Chinese,Divorced Man & Divorced Woman,5
1985,Chinese,Divorced Man & Widowed Woman,2
1985,Chinese,Widowed Man & Single Woman,4
1985,Chinese,Widowed Man & Divorced Woman,2
1985,Chinese,Widowed Man & Widowed Woman,1
1985,Indians,Single Man & Single Woman,94
1985,Indians,Single Man & Divorced Woman,0
1985,Indians,Single Man & Widowed Woman,0
1985,Indians,Divorced Man & Single Woman,3
1985,Indians,Divorced Man & Divorced Woman,0
1985,Indians,Divorced Man & Widowed Woman,0
1985,Indians,Widowed Man & Single Woman,0
1985,Indians,Widowed Man & Divorced Woman,0
1985,Indians,Widowed Man & Widowed Woman,0
1985,Others,Single Man & Single Woman,7
1985,Others,Single Man & Divorced Woman,0
1985,Others,Single Man & Widowed Woman,0
1985,Others,Divorced Man & Single Woman,1
1985,Others,Divorced Man & Divorced Woman,1
1985,Others,Divorced Man & Widowed Woman,0
1985,Others,Widowed Man & Single Woman,0
1985,Others,Widowed Man & Divorced Woman,0
1985,Others,Widowed Man & Widowed Woman,0
1985,Inter-ethnic,Single Man & Single Woman,55
1985,Inter-ethnic,Single Man & Divorced Woman,3
1985,Inter-ethnic,Single Man & Widowed Woman,1
1985,Inter-ethnic,Divorced Man & Single Woman,5
1985,Inter-ethnic,Divorced Man & Divorced Woman,2
1985,Inter-ethnic,Divorced Man & Widowed Woman,0
1985,Inter-ethnic,Widowed Man & Single Woman,1
1985,Inter-ethnic,Widowed Man & Divorced Woman,0
1985,Inter-ethnic,Widowed Man & Widowed Woman,0
1986,Total,Single Man & Single Woman,1356
1986,Total,Single Man & Divorced Woman,20
1986,Total,Single Man & Widowed Woman,5
1986,Total,Divorced Man & Single Woman,21
1986,Total,Divorced Man & Divorced Woman,2
1986,Total,Divorced Man & Widowed Woman,0
1986,Total,Widowed Man & Single Woman,10
1986,Total,Widowed Man & Divorced Woman,1
1986,Total,Widowed Man & Widowed Woman,0
1986,Chinese,Single Man & Single Woman,1187
1986,Chinese,Single Man & Divorced Woman,14
1986,Chinese,Single Man & Widowed Woman,4
1986,Chinese,Divorced Man & Single Woman,19
1986,Chinese,Divorced Man & Divorced Woman,2
1986,Chinese,Divorced Man & Widowed Woman,0
1986,Chinese,Widowed Man & Single Woman,7
1986,Chinese,Widowed Man & Divorced Woman,1
1986,Chinese,Widowed Man & Widowed Woman,0
1986,Indians,Single Man & Single Woman,93
1986,Indians,Single Man & Divorced Woman,3
1986,Indians,Single Man & Widowed Woman,1
1986,Indians,Divorced Man & Single Woman,0
1986,Indians,Divorced Man & Divorced Woman,0
1986,Indians,Divorced Man & Widowed Woman,0
1986,Indians,Widowed Man & Single Woman,1
1986,Indians,Widowed Man & Divorced Woman,0
1986,Indians,Widowed Man & Widowed Woman,0
1986,Others,Single Man & Single Woman,11
1986,Others,Single Man & Divorced Woman,0
1986,Others,Single Man & Widowed Woman,0
1986,Others,Divorced Man & Single Woman,0
1986,Others,Divorced Man & Divorced Woman,0
1986,Others,Divorced Man & Widowed Woman,0
1986,Others,Widowed Man & Single Woman,0
1986,Others,Widowed Man & Divorced Woman,0
1986,Others,Widowed Man & Widowed Woman,0
1986,Inter-ethnic,Single Man & Single Woman,65
1986,Inter-ethnic,Single Man & Divorced Woman,3
1986,Inter-ethnic,Single Man & Widowed Woman,0
1986,Inter-ethnic,Divorced Man & Single Woman,2
1986,Inter-ethnic,Divorced Man & Divorced Woman,0
1986,Inter-ethnic,Divorced Man & Widowed Woman,0
1986,Inter-ethnic,Widowed Man & Single Woman,2
1986,Inter-ethnic,Widowed Man & Divorced Woman,0
1986,Inter-ethnic,Widowed Man & Widowed Woman,0
1987,Total,Single Man & Single Woman,1341
1987,Total,Single Man & Divorced Woman,14
1987,Total,Single Man & Widowed Woman,7
1987,Total,Divorced Man & Single Woman,28
1987,Total,Divorced Man & Divorced Woman,3
1987,Total,Divorced Man & Widowed Woman,0
1987,Total,Widowed Man & Single Woman,1
1987,Total,Widowed Man & Divorced Woman,2
1987,Total,Widowed Man & Widowed Woman,2
1987,Chinese,Single Man & Single Woman,1168
1987,Chinese,Single Man & Divorced Woman,11
1987,Chinese,Single Man & Widowed Woman,5
1987,Chinese,Divorced Man & Single Woman,16
1987,Chinese,Divorced Man & Divorced Woman,1
1987,Chinese,Divorced Man & Widowed Woman,0
1987,Chinese,Widowed Man & Single Woman,1
1987,Chinese,Widowed Man & Divorced Woman,2
1987,Chinese,Widowed Man & Widowed Woman,2
1987,Indians,Single Man & Single Woman,83
1987,Indians,Single Man & Divorced Woman,1
1987,Indians,Single Man & Widowed Woman,0
1987,Indians,Divorced Man & Single Woman,1
1987,Indians,Divorced Man & Divorced Woman,0
1987,Indians,Divorced Man & Widowed Woman,0
1987,Indians,Widowed Man & Single Woman,0
1987,Indians,Widowed Man & Divorced Woman,0
1987,Indians,Widowed Man & Widowed Woman,0
1987,Others,Single Man & Single Woman,15
1987,Others,Single Man & Divorced Woman,2
1987,Others,Single Man & Widowed Woman,0
1987,Others,Divorced Man & Single Woman,1
1987,Others,Divorced Man & Divorced Woman,0
1987,Others,Divorced Man & Widowed Woman,0
1987,Others,Widowed Man & Single Woman,0
1987,Others,Widowed Man & Divorced Woman,0
1987,Others,Widowed Man & Widowed Woman,0
1987,Inter-ethnic,Single Man & Single Woman,75
1987,Inter-ethnic,Single Man & Divorced Woman,0
1987,Inter-ethnic,Single Man & Widowed Woman,2
1987,Inter-ethnic,Divorced Man & Single Woman,10
1987,Inter-ethnic,Divorced Man & Divorced Woman,2
1987,Inter-ethnic,Divorced Man & Widowed Woman,0
1987,Inter-ethnic,Widowed Man & Single Woman,0
1987,Inter-ethnic,Widowed Man & Divorced Woman,0
1987,Inter-ethnic,Widowed Man & Widowed Woman,0
1988,Total,Single Man & Single Woman,1465
1988,Total,Single Man & Divorced Woman,16
1988,Total,Single Man & Widowed Woman,2
1988,Total,Divorced Man & Single Woman,32
1988,Total,Divorced Man & Divorced Woman,7
1988,Total,Divorced Man & Widowed Woman,1
1988,Total,Widowed Man & Single Woman,4
1988,Total,Widowed Man & Divorced Woman,2
1988,Total,Widowed Man & Widowed Woman,1
1988,Chinese,Single Man & Single Woman,1308
1988,Chinese,Single Man & Divorced Woman,11
1988,Chinese,Single Man & Widowed Woman,1
1988,Chinese,Divorced Man & Single Woman,23
1988,Chinese,Divorced Man & Divorced Woman,6
1988,Chinese,Divorced Man & Widowed Woman,0
1988,Chinese,Widowed Man & Single Woman,4
1988,Chinese,Widowed Man & Divorced Woman,1
1988,Chinese,Widowed Man & Widowed Woman,0
1988,Indians,Single Man & Single Woman,82
1988,Indians,Single Man & Divorced Woman,2
1988,Indians,Single Man & Widowed Woman,0
1988,Indians,Divorced Man & Single Woman,0
1988,Indians,Divorced Man & Divorced Woman,0
1988,Indians,Divorced Man & Widowed Woman,0
1988,Indians,Widowed Man & Single Woman,0
1988,Indians,Widowed Man & Divorced Woman,0
1988,Indians,Widowed Man & Widowed Woman,0
1988,Others,Single Man & Single Woman,9
1988,Others,Single Man & Divorced Woman,2
1988,Others,Single Man & Widowed Woman,0
1988,Others,Divorced Man & Single Woman,0
1988,Others,Divorced Man & Divorced Woman,0
1988,Others,Divorced Man & Widowed Woman,0
1988,Others,Widowed Man & Single Woman,0
1988,Others,Widowed Man & Divorced Woman,0
1988,Others,Widowed Man & Widowed Woman,1
1988,Inter-ethnic,Single Man & Single Woman,66
1988,Inter-ethnic,Single Man & Divorced Woman,1
1988,Inter-ethnic,Single Man & Widowed Woman,1
1988,Inter-ethnic,Divorced Man & Single Woman,9
1988,Inter-ethnic,Divorced Man & Divorced Woman,1
1988,Inter-ethnic,Divorced Man & Widowed Woman,1
1988,Inter-ethnic,Widowed Man & Single Woman,0
1988,Inter-ethnic,Widowed Man & Divorced Woman,1
1988,Inter-ethnic,Widowed Man & Widowed Woman,0
1989,Total,Single Man & Single Woman,1459
1989,Total,Single Man & Divorced Woman,27
1989,Total,Single Man & Widowed Woman,4
1989,Total,Divorced Man & Single Woman,32
1989,Total,Divorced Man & Divorced Woman,7
1989,Total,Divorced Man & Widowed Woman,1
1989,Total,Widowed Man & Single Woman,5
1989,Total,Widowed Man & Divorced Woman,0
1989,Total,Widowed Man & Widowed Woman,0
1989,Chinese,Single Man & Single Woman,1294
1989,Chinese,Single Man & Divorced Woman,25
1989,Chinese,Single Man & Widowed Woman,1
1989,Chinese,Divorced Man & Single Woman,21
1989,Chinese,Divorced Man & Divorced Woman,5
1989,Chinese,Divorced Man & Widowed Woman,1
1989,Chinese,Widowed Man & Single Woman,5
1989,Chinese,Widowed Man & Divorced Woman,0
1989,Chinese,Widowed Man & Widowed Woman,0
1989,Indians,Single Man & Single Woman,89
1989,Indians,Single Man & Divorced Woman,0
1989,Indians,Single Man & Widowed Woman,2
1989,Indians,Divorced Man & Single Woman,4
1989,Indians,Divorced Man & Divorced Woman,0
1989,Indians,Divorced Man & Widowed Woman,0
1989,Indians,Widowed Man & Single Woman,0
1989,Indians,Widowed Man & Divorced Woman,0
1989,Indians,Widowed Man & Widowed Woman,0
1989,Others,Single Man & Single Woman,9
1989,Others,Single Man & Divorced Woman,1
1989,Others,Single Man & Widowed Woman,0
1989,Others,Divorced Man & Single Woman,2
1989,Others,Divorced Man & Divorced Woman,1
1989,Others,Divorced Man & Widowed Woman,0
1989,Others,Widowed Man & Single Woman,0
1989,Others,Widowed Man & Divorced Woman,0
1989,Others,Widowed Man & Widowed Woman,0
1989,Inter-ethnic,Single Man & Single Woman,67
1989,Inter-ethnic,Single Man & Divorced Woman,1
1989,Inter-ethnic,Single Man & Widowed Woman,1
1989,Inter-ethnic,Divorced Man & Single Woman,5
1989,Inter-ethnic,Divorced Man & Divorced Woman,1
1989,Inter-ethnic,Divorced Man & Widowed Woman,0
1989,Inter-ethnic,Widowed Man & Single Woman,0
1989,Inter-ethnic,Widowed Man & Divorced Woman,0
1989,Inter-ethnic,Widowed Man & Widowed Woman,0
1990,Total,Single Man & Single Woman,1889
1990,Total,Single Man & Divorced Woman,37
1990,Total,Single Man & Widowed Woman,4
1990,Total,Divorced Man & Single Woman,45
1990,Total,Divorced Man & Divorced Woman,14
1990,Total,Divorced Man & Widowed Woman,0
1990,Total,Widowed Man & Single Woman,6
1990,Total,Widowed Man & Divorced Woman,2
1990,Total,Widowed Man & Widowed Woman,0
1990,Chinese,Single Man & Single Woman,1685
1990,Chinese,Single Man & Divorced Woman,33
1990,Chinese,Single Man & Widowed Woman,2
1990,Chinese,Divorced Man & Single Woman,34
1990,Chinese,Divorced Man & Divorced Woman,11
1990,Chinese,Divorced Man & Widowed Woman,0
1990,Chinese,Widowed Man & Single Woman,5
1990,Chinese,Widowed Man & Divorced Woman,2
1990,Chinese,Widowed Man & Widowed Woman,0
1990,Indians,Single Man & Single Woman,119
1990,Indians,Single Man & Divorced Woman,1
1990,Indians,Single Man & Widowed Woman,2
1990,Indians,Divorced Man & Single Woman,5
1990,Indians,Divorced Man & Divorced Woman,2
1990,Indians,Divorced Man & Widowed Woman,0
1990,Indians,Widowed Man & Single Woman,1
1990,Indians,Widowed Man & Divorced Woman,0
1990,Indians,Widowed Man & Widowed Woman,0
1990,Others,Single Man & Single Woman,15
1990,Others,Single Man & Divorced Woman,0
1990,Others,Single Man & Widowed Woman,0
1990,Others,Divorced Man & Single Woman,0
1990,Others,Divorced Man & Divorced Woman,0
1990,Others,Divorced Man & Widowed Woman,0
1990,Others,Widowed Man & Single Woman,0
1990,Others,Widowed Man & Divorced Woman,0
1990,Others,Widowed Man & Widowed Woman,0
1990,Inter-ethnic,Single Man & Single Woman,70
1990,Inter-ethnic,Single Man & Divorced Woman,3
1990,Inter-ethnic,Single Man & Widowed Woman,0
1990,Inter-ethnic,Divorced Man & Single Woman,6
1990,Inter-ethnic,Divorced Man & Divorced Woman,1
1990,Inter-ethnic,Divorced Man & Widowed Woman,0
1990,Inter-ethnic,Widowed Man & Single Woman,0
1990,Inter-ethnic,Widowed Man & Divorced Woman,0
1990,Inter-ethnic,Widowed Man & Widowed Woman,0
1991,Total,Single Man & Single Woman,2509
1991,Total,Single Man & Divorced Woman,65
1991,Total,Single Man & Widowed Woman,6
1991,Total,Divorced Man & Single Woman,56
1991,Total,Divorced Man & Divorced Woman,14
1991,Total,Divorced Man & Widowed Woman,2
1991,Total,Widowed Man & Single Woman,10
1991,Total,Widowed Man & Divorced Woman,1
1991,Total,Widowed Man & Widowed Woman,2
1991,Chinese,Single Man & Single Woman,2268
1991,Chinese,Single Man & Divorced Woman,54
1991,Chinese,Single Man & Widowed Woman,4
1991,Chinese,Divorced Man & Single Woman,46
1991,Chinese,Divorced Man & Divorced Woman,13
1991,Chinese,Divorced Man & Widowed Woman,1
1991,Chinese,Widowed Man & Single Woman,7
1991,Chinese,Widowed Man & Divorced Woman,1
1991,Chinese,Widowed Man & Widowed Woman,2
1991,Indians,Single Man & Single Woman,130
1991,Indians,Single Man & Divorced Woman,0
1991,Indians,Single Man & Widowed Woman,2
1991,Indians,Divorced Man & Single Woman,2
1991,Indians,Divorced Man & Divorced Woman,0
1991,Indians,Divorced Man & Widowed Woman,0
1991,Indians,Widowed Man & Single Woman,3
1991,Indians,Widowed Man & Divorced Woman,0
1991,Indians,Widowed Man & Widowed Woman,0
1991,Others,Single Man & Single Woman,10
1991,Others,Single Man & Divorced Woman,2
1991,Others,Single Man & Widowed Woman,0
1991,Others,Divorced Man & Single Woman,0
1991,Others,Divorced Man & Divorced Woman,0
1991,Others,Divorced Man & Widowed Woman,0
1991,Others,Widowed Man & Single Woman,0
1991,Others,Widowed Man & Divorced Woman,0
1991,Others,Widowed Man & Widowed Woman,0
1991,Inter-ethnic,Single Man & Single Woman,101
1991,Inter-ethnic,Single Man & Divorced Woman,9
1991,Inter-ethnic,Single Man & Widowed Woman,0
1991,Inter-ethnic,Divorced Man & Single Woman,8
1991,Inter-ethnic,Divorced Man & Divorced Woman,1
1991,Inter-ethnic,Divorced Man & Widowed Woman,1
1991,Inter-ethnic,Widowed Man & Single Woman,0
1991,Inter-ethnic,Widowed Man & Divorced Woman,0
1991,Inter-ethnic,Widowed Man & Widowed Woman,0
1992,Total,Single Man & Single Woman,2382
1992,Total,Single Man & Divorced Woman,45
1992,Total,Single Man & Widowed Woman,1
1992,Total,Divorced Man & Single Woman,65
1992,Total,Divorced Man & Divorced Woman,13
1992,Total,Divorced Man & Widowed Woman,2
1992,Total,Widowed Man & Single Woman,6
1992,Total,Widowed Man & Divorced Woman,3
1992,Total,Widowed Man & Widowed Woman,0
1992,Chinese,Single Man & Single Woman,2091
1992,Chinese,Single Man & Divorced Woman,38
1992,Chinese,Single Man & Widowed Woman,1
1992,Chinese,Divorced Man & Single Woman,49
1992,Chinese,Divorced Man & Divorced Woman,9
1992,Chinese,Divorced Man & Widowed Woman,1
1992,Chinese,Widowed Man & Single Woman,5
1992,Chinese,Widowed Man & Divorced Woman,3
1992,Chinese,Widowed Man & Widowed Woman,0
1992,Indians,Single Man & Single Woman,170
1992,Indians,Single Man & Divorced Woman,2
1992,Indians,Single Man & Widowed Woman,0
1992,Indians,Divorced Man & Single Woman,7
1992,Indians,Divorced Man & Divorced Woman,0
1992,Indians,Divorced Man & Widowed Woman,1
1992,Indians,Widowed Man & Single Woman,1
1992,Indians,Widowed Man & Divorced Woman,0
1992,Indians,Widowed Man & Widowed Woman,0
1992,Others,Single Man & Single Woman,11
1992,Others,Single Man & Divorced Woman,1
1992,Others,Single Man & Widowed Woman,0
1992,Others,Divorced Man & Single Woman,1
1992,Others,Divorced Man & Divorced Woman,1
1992,Others,Divorced Man & Widowed Woman,0
1992,Others,Widowed Man & Single Woman,0
1992,Others,Widowed Man & Divorced Woman,0
1992,Others,Widowed Man & Widowed Woman,0
1992,Inter-ethnic,Single Man & Single Woman,110
1992,Inter-ethnic,Single Man & Divorced Woman,4
1992,Inter-ethnic,Single Man & Widowed Woman,0
1992,Inter-ethnic,Divorced Man & Single Woman,8
1992,Inter-ethnic,Divorced Man & Divorced Woman,3
1992,Inter-ethnic,Divorced Man & Widowed Woman,0
1992,Inter-ethnic,Widowed Man & Single Woman,0
1992,Inter-ethnic,Widowed Man & Divorced Woman,0
1992,Inter-ethnic,Widowed Man & Widowed Woman,0
1993,Total,Single Man & Single Woman,2374
1993,Total,Single Man & Divorced Woman,51
1993,Total,Single Man & Widowed Woman,7
1993,Total,Divorced Man & Single Woman,72
1993,Total,Divorced Man & Divorced Woman,17
1993,Total,Divorced Man & Widowed Woman,0
1993,Total,Widowed Man & Single Woman,7
1993,Total,Widowed Man & Divorced Woman,3
1993,Total,Widowed Man & Widowed Woman,0
1993,Chinese,Single Man & Single Woman,2114
