year,level_1,level_2,value
1998,Median Age Of Female Divorcees,Under The Women'S Charter,35.8
1998,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,33.9
1998,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.6
1998,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.1
1999,Median Age Of Male Divorcees,Under The Women'S Charter,39.5
1999,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,37.8
1999,Median Age Of Female Divorcees,Under The Women'S Charter,35.8
1999,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,34.8
1999,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.4
1999,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.7
2000,Median Age Of Male Divorcees,Under The Women'S Charter,39.5
2000,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,38
2000,Median Age Of Female Divorcees,Under The Women'S Charter,35.9
2000,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,34.7
2000,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.5
2000,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.1
2001,Median Age Of Male Divorcees,Under The Women'S Charter,39.5
2001,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,37.9
2001,Median Age Of Female Divorcees,Under The Women'S Charter,36
2001,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,34.6
2001,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10
2001,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.1
2002,Median Age Of Male Divorcees,Under The Women'S Charter,39.2
2002,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,37.8
2002,Median Age Of Female Divorcees,Under The Women'S Charter,35.8
2002,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,34.8
2002,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.1
2002,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.5
2003,Median Age Of Male Divorcees,Under The Women'S Charter,39.9
2003,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,37.6
2003,Median Age Of Female Divorcees,Under The Women'S Charter,36.2
2003,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,34.6
2003,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.4
2003,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.7
2004,Median Age Of Male Divorcees,Under The Women'S Charter,40
2004,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,37.2
2004,Median Age Of Female Divorcees,Under The Women'S Charter,35.9
2004,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,33.5
2004,Median Duration Of Marriage For Divorces,Under The Women'S Charter,9.9
2004,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.3
2005,Median Age Of Male Divorcees,Under The Women'S Charter,39.5
2005,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,38.3
2005,Median Age Of Female Divorcees,Under The Women'S Charter,35.7
2005,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,34.4
2005,Median Duration Of Marriage For Divorces,Under The Women'S Charter,9.8
2005,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.7
2006,Median Age Of Male Divorcees,Under The Women'S Charter,40.1
2006,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,38.1
2006,Median Age Of Female Divorcees,Under The Women'S Charter,36.2
2006,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,34.3
2006,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.1
2006,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,7.8
2007,Median Age Of Male Divorcees,Under The Women'S Charter,40.1
2007,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,38.2
2007,Median Age Of Female Divorcees,Under The Women'S Charter,36.4
2007,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,34.6
2007,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10
2007,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8
2008,Median Age Of Male Divorcees,Under The Women'S Charter,40.4
2008,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,38.5
2008,Median Age Of Female Divorcees,Under The Women'S Charter,36.5
2008,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,35
2008,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.4
2008,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.1
2009,Median Age Of Male Divorcees,Under The Women'S Charter,40.9
2009,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,38.6
2009,Median Age Of Female Divorcees,Under The Women'S Charter,37.2
2009,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,35.5
2009,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.5
2009,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.5
2010,Median Age Of Male Divorcees,Under The Women'S Charter,41.5
2010,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,38.9
2010,Median Age Of Female Divorcees,Under The Women'S Charter,37.7
2010,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,35.8
2010,Median Duration Of Marriage For Divorces,Under The Women'S Charter,11
2010,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,9
2011,Median Age Of Male Divorcees,Under The Women'S Charter,41.6
2011,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,39.5
2011,Median Age Of Female Divorcees,Under The Women'S Charter,37.9
2011,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,36.5
2011,Median Duration Of Marriage For Divorces,Under The Women'S Charter,11.1
2011,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.4
2012,Median Age Of Male Divorcees,Under The Women'S Charter,42
2012,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,40.3
2012,Median Age Of Female Divorcees,Under The Women'S Charter,38.4
2012,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,36.6
2012,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.9
2012,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.6
2013,Median Age Of Male Divorcees,Under The Women'S Charter,43
2013,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,40.1
2013,Median Age Of Female Divorcees,Under The Women'S Charter,38.6
2013,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,36.7
2013,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.8
2013,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,9.2
2014,Median Age Of Male Divorcees,Under The Women'S Charter,42.9
2014,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,41.4
2014,Median Age Of Female Divorcees,Under The Women'S Charter,38.5
2014,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,38.1
2014,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.5
2014,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,9.8
2015,Median Age Of Male Divorcees,Under The Women'S Charter,43.2
2015,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,41.2
2015,Median Age Of Female Divorcees,Under The Women'S Charter,39
2015,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,37.6
2015,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.3
2015,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,9.1
2016,Median Age Of Male Divorcees,Under The Women'S Charter,43.3
2016,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,40.7
2016,Median Age Of Female Divorcees,Under The Women'S Charter,38.8
2016,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,37.4
2016,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.3
2016,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,8.7
2017,Median Age Of Male Divorcees,Under The Women'S Charter,43.7
2017,Median Age Of Male Divorcees,Under The Administration Of Muslim Law Act,41.4
2017,Median Age Of Female Divorcees,Under The Women'S Charter,39.5
2017,Median Age Of Female Divorcees,Under The Administration Of Muslim Law Act,37.2
2017,Median Duration Of Marriage For Divorces,Under The Women'S Charter,10.5
2017,Median Duration Of Marriage For Divorces,Under The Administration Of Muslim Law Act,9.2
